rank,title,src,cover,up,PageViews,comments
46,搞艺术的千万别住一起,https://www.bilibili.com/video/BV1uG411X7LT,https://i0.hdslb.com/bfs/archive/1bccf898e8a54e68d0f9c9cec7ce3900775c67da.jpg@412w_232h_1c_!web-popular.avif,张煜东East,113.1万,505
47,《加菲猫》剧场版首版正式预告（北美定档2024.5.24）,https://www.bilibili.com/video/BV1zw411N7pb,https://i0.hdslb.com/bfs/archive/49acaf8f8345e31f50eab992136c14ee19cdf071.jpg@412w_232h_1c_!web-popular.avif,dr-ralsei,85.8万,1490
48,好奇心驱使我花重金买了个8块钱的奇趣蛋,https://www.bilibili.com/video/BV1KG411X7q3,https://i1.hdslb.com/bfs/archive/85b6a53fe29cd70d4e334ac966f890b186cb7061.jpg@412w_232h_1c_!web-popular.avif,一位阿伯,187.4万,2366
49,握手~🤝脑波控制的仿生手,https://www.bilibili.com/video/BV17b4y1g7br,https://i1.hdslb.com/bfs/archive/ccfe521ac04bfae51669a838246e059aaf145ce5.jpg@412w_232h_1c_!web-popular.avif,不刷题的吴姥姥,363.7万,689
50,直观感受神奇的角动量守恒,https://www.bilibili.com/video/BV1tu4y1A76V,https://i0.hdslb.com/bfs/archive/c8122120df1501f7ec7bd4e47a1ad84e7f2d1565.jpg@412w_232h_1c_!web-popular.avif,陈沉沉物理课堂,155万,615
51,复刻全球最受欢迎炸鸡，每年卖出上亿份，到底有多好吃？,https://www.bilibili.com/video/BV1aM411D7g5,https://i1.hdslb.com/bfs/archive/9be462dc39e39b3f5ca490e3a7f46775932f1f6b.jpg@412w_232h_1c_!web-popular.avif,大碗拿铁,293.6万,4384
52,如何成为兄弟们的神？仅需2元，一学就会！,https://www.bilibili.com/video/BV1ru4y1b7if,https://i2.hdslb.com/bfs/archive/dc52434b32bbc551185554d81621f8e7047d590d.jpg@412w_232h_1c_!web-popular.avif,毕的二阶导,107.6万,411
53,精选版“家庭火锅必吃清单”！平价还爆好吃！都是火锅界新晋贵人！全家人一致让我多囤些！冬天就是要吃口热乎的！经常在家吃火锅的快来抄作业！,https://www.bilibili.com/video/BV1ku4y1N7j4,https://i2.hdslb.com/bfs/archive/9a63ba325f3d280359e1dcb846fb85a543227f6c.jpg@412w_232h_1c_!web-popular.avif,林画同学,51万,2754
54,探秘蚯蚓神秘部位，解锁蚯蚓神奇美食,https://www.bilibili.com/video/BV1CN4y1U7Tn,https://i2.hdslb.com/bfs/archive/913c989a06d74f60bb047eb39e753e3d50649dd4.jpg@412w_232h_1c_!web-popular.avif,老郭美食,71万,4039
55,当玩家说芙宁娜神爱世人的时候，神到底在爱什么？,https://www.bilibili.com/video/BV16u4y1b7Cu,https://i0.hdslb.com/bfs/archive/e6014cd3cb062b6f6243b0e729d20f578e5886e0.jpg@412w_232h_1c_!web-popular.avif,果蝇轰,50.1万,1564
56,冷知识：不要在深夜过剧情,https://www.bilibili.com/video/BV1UH4y1i7qr,https://i1.hdslb.com/bfs/archive/603a3cb429641c832c6a2f1231633bc40bb12070.jpg@412w_232h_1c_!web-popular.avif,古呀老师,107.8万,590
57,“他说，我烂泥扶不上墙”,https://www.bilibili.com/video/BV1gH4y1q7ce,https://i1.hdslb.com/bfs/archive/9c64aa7f7b34acab61893f8cc385da4fb76e3758.jpg@412w_232h_1c_!web-popular.avif,有棵里里,54.8万,105
